School,id,Type,Function,Contact Name,Address,Town,State,Zip,Phone,Fax,Grade
Lynn: Capt William G Shoemaker,1630090,Public School,Principal,Christina Colella,26 Regina Rd,Lynn,MA,1904,781-477-7450,781-477-7454,"PK,K,01,02,03,04,05"
Lynn: Cobbet Elementary,1630035,Public School,Principal,Susanne Garrity,40 Franklin Street,Lynn,MA,1902,781-477-7341,781-477-7341,"K,01,02,03,04,05"
Lynn: E J Harrington,1630045,Public School,Principal,Lissa Bloom,21 Dexter Street,Lynn,MA,1902,781-477-7380,781-477-7383,"PK,K,01,02,03,04,05"
Lynn: Edward A Sisson,1630095,Public School,Principal,Jane Franklin,58 Conomo Avenue,Lynn,MA,1904,781-477-7455,781-268-0550,"K,01,02,03,04,05"
Lynn: Fecteau-Leary Junior/Senior High School,1630525,Public School,Principal,Maura Durgin-Scully,33 North Common Street,Lynn,MA,1902,781-268-3007,781-268-3006,"06,07,08,09,10,11,12"
Lynn: Hood,1630055,Public School,Principal,Gayle Dufour,24 Oakwood Avenue,Lynn,MA,1902,781-477-7390,781-593-9746,"K,01,02,03,04,05"
Lynn: Ingalls,1630060,Public School,Principal,Irene Cowdell,1 Collins Street Terrace,Lynn,MA,1902,781-477-7400,781-477-7398,"K,01,02,03,04,05"
Lynn: Julia F Callahan,1630030,Public School,Principal,James Kennison,200 O'Callaghan Way,Lynn,MA,1905,781-477-7340,781-581-9248,"PK,K,01,02,03,04,05"
Lynn: Lincoln-Thomson,1630070,Public School,Principal,Mary Foster,115 Gardiner Street,Lynn,MA,1905,781-477-7460,781-477-7459,"K,01,02,03,04,05"
Lynn: Lynn Woods,1630075,Public School,Principal,Ellen Fritz,31 Trevett Avenue,Lynn,MA,1904,781-477-7433,781-477-7435,"K,01,02,03,04,05"
Lynn: Pickering Middle,1630420,Public School,Principal,Kevin Rittershaus,70 Conomo Avenue,Lynn,MA,1904,781-477-7440,781-477-7202,"06,07,08"
Lynn: Robert L Ford,1630050,Public School,Principal,Joanne Larivee,49 Hollingsworth St,Lynn,MA,1902,781-477-7375,781-477-2796,"01,02,03,04,05"
Lynn: Sewell-Anderson,1630085,Public School,Principal,Mary Panagopoulos,25 Ontario Street,Lynn,MA,1905,781-477-7444,781-268-4074,"K,01,02,03,04,05"
Lynn: Thurgood Marshall Mid,1630305,Public School,Principal,Molly Cohen,100 Brookline Street,Lynn,MA,1902,781-477-7360,781-477-7355,"06,07,08"
Lynn: Tracy,1630100,Public School,Principal,Pattye Griffin,35 Walnut Street,Lynn,MA,1905,781-477-7466,781-477-7465,"01,02,03,04,05"
Lynn: Washington Elementary School,1630005,Public School,Principal,Anthony Frye,58 Blossom Street,Lynn,MA,1902,781-477-1701,339-883-1415,"K,01,02,03,04,05"
Lynn: William R Fallon,1630080,Public School,Principal,Nancy Conway,100 Robinson Street,Lynn,MA,1905,781-477-7401,781-477-7472,"K,01,02,03,04,05,06"
Lynn: Wm P Connery,1630040,Public School,Principal,Mary Dill,50 Elm Street,Lynn,MA,1905,781-477-7344,781-477-7451,"PK,K,01,02,03,04,05"
Lynnfield: Huckleberry Hill,1640010,Public School,Principal,Brian Bemiss,5 Knoll Road,Lynnfield,MA,1940,781-334-5835,781-334-7205,"K,01,02,03,04"
Lynnfield: Lynnfield Middle School,1640405,Public School,Principal,Stephen Ralston,505 Main Street,Lynnfield,MA,1940,781-334-5810,781-334-7203,"05,06,07,08"
Lynnfield: Summer Street,1640020,Public School,Principal,Gregory Hurray,262 Summer Street,Lynnfield,MA,1940,781-334-5830,781-334-5817,"K,01,02,03,04"
MATCH Charter Public School (District): MATCH Charter Public School,4690505,Charter School,Principal,Hannah Larkin,1001 Commonwealth Avenue,Boston,MA,2215,617-232-0300,617-232-2838,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Malden: Beebe,1650003,Public School,Principal,Barbara O'brien,401 Pleasant Street,Malden,MA,2148,781-388-0621,781-388-0623,"K,01,02,03,04,05,06,07,08"
Malden: Ferryway,1650013,Public School,Principal,Abdel Sepulveda,150 Cross Street,Malden,MA,2148,781-388-0659,781-388-0660,"K,01,02,03,04,05,06,07,08"
Malden: Forestdale,1650027,Public School,Principal,Donald Concannon,74 Sylvan Street,Malden,MA,2148,781-397-7326,781-397-1509,"K,01,02,03,04,05,06,07,08"
Malden: Linden,1650047,Public School,Principal,Richard Bransfield,29 Wescott Street,Malden,MA,2148,781-397-7218,781-397-1562,"K,01,02,03,04,05,06,07,08"
Malden: Salemwood,1650057,Public School,Principal,Rebecca Gordon,529 Salem Street,Malden,MA,2148,781-388-0647,781-397-7319,"K,01,02,03,04,05,06,07,08"
Manchester Essex Regional: Essex Elementary,6980020,Public School,Principal,Jennifer Roberts,12 Story Street,Essex,MA,1929,978-768-7324,978-768-2502,"K,01,02,03,04,05"
Manchester Essex Regional: Manchester Essex Regional Middle School,6980030,Public School,Principal,Joanne Maino,36 Lincoln Street,Manchester,MA,1944,978-526-2022,978-525-6090,"06,07,08"
Manchester Essex Regional: Manchester Memorial Elementary,6980010,Public School,Principal,John Willis,43 Lincoln Street,Manchester,MA,1944,978-526-1908,978-526-2060,"PK,K,01,02,03,04,05"
Mansfield: Harold L Qualters Middle,1670035,Public School,Principal,Suzanne Ryan,240 East Street,Mansfield,MA,2048,508-261-7530,508-261-7535,"06,07,08"
Mansfield: Jordan/Jackson Elementary,1670014,Public School,Principal,John Nieratko,255 East Street,Mansfield,MA,2048,508-261-7520,508-261-7528,"03,04,05"
Marblehead: Glover,1680020,Public School,Principal,Brian Ota,9 Maple Street,Marblehead,MA,1945,781-639-3190,781-639-3192,"PK,K,01,02,03"
Marblehead: L H Coffin,1680010,Public School,Principal,Sean Satterfield,1 Turner Rd,Marblehead,MA,1945,781-639-3180,781-639-3182,"02,03"
Marblehead: Malcolm L Bell,1680005,Public School,Principal,Donna Zaeske,40 Baldwin Rd,Marblehead,MA,1945,781-639-3170,781-639-3173,"K,01,02,03"
Marblehead: Marblehead Veterans Middle School,1680300,Public School,Principal,Matthew Fox,217 Pleasant Street,Marblehead,MA,1945,781-639-3120,781-639-3130,"07,08"
Marblehead: Village School,1680016,Public School,Principal,Amanda Murphy,93 Village Street,Marblehead,MA,1945,781-639-3159,781-639-9423,"04,05,06"
Marblehead Community Charter Public (District): Marblehead Community Charter Public School,4640305,Charter School,Principal,Helena Cullen-Hamzeh,17 Lime Street,Marblehead,MA,1945,781-631-0777,781-631-0500,"04,05,06,07,08"
Marion: Sippican,1690005,Public School,Principal,Evelyn Rivet,16 Spring Street,Marion,MA,2738,508-748-0100,508-748-1953,"PK,K,01,02,03,04,05,06"
Marlborough: 1 LT Charles W. Whitcomb School,1700045,Public School,Principal,Brian Daniels,25 Union Street,Marlborough,MA,1752,508-460-3502,508-460-3597,"05,06,07,08"
Marlborough: Charles Jaworek School,1700030,Public School,Principal,Ronald Sanborn,444 Hosmer Street,Marlborough,MA,1752,508-460-3506,508-460-3709,"K,01,02,03,04"
Marlborough: Francis J Kane,1700008,Public School,Principal,Kalliope Pantazopoulos,520 Farm Road,Marlborough,MA,1752,508-460-3507,508-460-3588,"K,01,02,03,04"
Marlborough: Richer,1700025,Public School,Principal,Robert Skaza,80 Foley Road,Marlborough,MA,1752,508-460-3504,508-460-3586,"K,01,02,03,04"
Marshfield: Daniel Webster,1710015,Public School,Principal,Sara Prouty,1456 Ocean Street,Marshfield,MA,2050,781-834-5045,781-834-5072,"PK,K,01,02,03,04,05"
Marshfield: Eames Way School,1710005,Public School,Principal,William Campia,165 Eames Way,Marshfield,MA,2050,781-834-5090,781-834-5094,"K,01,02,03,04,05"
Marshfield: Furnace Brook Middle,1710310,Public School,Principal,Maureen Kemmett,500 Furnace Street,Marshfield,MA,2050,781-834-5020,781-834-5899,"06,07,08"
Marshfield: Gov Edward Winslow,1710020,Public School,Principal,Karen Hubbard,60 Regis Rd,Marshfield,MA,2050,781-834-5060,781-834-5075,"K,01,02,03,04,05"
Marshfield: Martinson Elementary,1710025,Public School,Principal,Leslie Scollins,275 Forest Street,Marshfield,MA,2050,781-834-5025,781-834-5003,"PK,K,01,02,03,04,05"
Marshfield: South River,1710010,Public School,Principal,Amy Scolaro,59 Hatch Street,Marshfield,MA,2050,781-834-5030,781-834-5071,"K,01,02,03,04,05"
Martha's Vineyard Charter (District): Martha's Vineyard Charter School,4660550,Charter School,Principal,Robert Moore,PO Box 1150,West Tisbury,MA,2575,508-693-9900,508-696-9008,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Martin Luther King Jr. Charter School of Excellence (District): Martin Luther King Jr. Charter School of Excellence,4920005,Charter School,Principal,Alan Katz,285 Dorset Street,Springfield,MA,1108,413-214-7806,413-214-7838,"K,01,02,03,04,05"
Masconomet: Masconomet Regional Middle School,7050405,Public School,Principal,Dorothy Flaherty,20 Endicott Rd,Boxford,MA,1921,978-887-2323,978-887-1991,"07,08"
Mashpee: Mashpee Middle School,1720020,Public School,Principal,Mark Balestracci,500 Old Barnstable Road,Mashpee,MA,2649,508-539-3601,508-539-3607,"07,08"
Mashpee: Quashnet School,1720035,Public School,Principal,MaryKate O'brien,150 Old Barnstable Road,Mashpee,MA,2649,508-539-1550,508-539-1556,"03,04,05,06"
Mattapoisett: Center,1730005,Public School,Principal,Rosemary Bowman,17 Barstow Street,Mattapoisett,MA,2739,508-758-2521,508-758-3153,"PK,K,01,02,03"
Mattapoisett: Old Hammondtown,1730010,Public School,Principal,Rosemary Bowman,20 Shaw Street,Mattapoisett,MA,2739,508-758-6241,508-758-4667,"04,05,06"
Maynard: Fowler School,1740305,Public School,Principal,Sharon Seyller,3 Tiger Drive,Maynard,MA,1754,978-897-6700,978-897-5737,"04,05,06,07,08"
Maynard: Green Meadow,1740010,Public School,Principal,Mary Beth Shea,5 Tiger Drive,Maynard,MA,1754,978-897-8246,978-897-8298,"PK,K,01,02,03"
Maynard: Maynard High,1740505,Public School,Principal,Charles Caragianes,1 Tiger Drive,Maynard,MA,1754,978-897-8891,978-897-6089,"09,10,11,12"
Medfield: Dale Street,1750005,Public School,Principal,Stephen Grenham,45 Adams Street,Medfield,MA,2052,508-359-5538,508-359-1415,"04,05"
Medfield: Ralph Wheelock School,1750007,Public School,Principal,Donna Olson,17 Elm Street,Medfield,MA,2052,508-359-6316,508-359-6174,"02,03"
Medfield: Thomas Blake Middle,1750305,Public School,Principal,Nathaniel Vaughn,24 Pound Street,Medfield,MA,2052,508-359-2396,508-359-0134,"06,07,08"
Medford: Brooks School,1760130,Public School,Principal,Suzanne Galusi,388 High Street,Medford,MA,2155,781-393-2166,781-393-2174,"PK,K,01,02,03,04,05"
Medford: Christopher Columbus,1760140,Public School,Principal,Kathleen Kay,37 Hicks Avenue,Medford,MA,2155,781-393-2177,781-393-2187,"PK,K,01,02,03,04,05"
Medford: John J McGlynn Elementary School,1760068,Public School,Principal,Diane Guarino,3002 Mystic Valley Pkwy,Medford,MA,2155,781-393-2333,781-393-5462,"PK,K,01,02,03,04,05"
Medford: John J. McGlynn Middle School,1760320,Public School,Principal,Jacob Edwards,3004 Mystic Valley Parkway,Medford,MA,2155,781-393-2333,781-393-5462,"06,07,08"
Medford: Madeleine Dugger Andrews,1760315,Public School,Principal,Paul D'Alleva,3000 Mystic Valley Pkwy,Medford,MA,2155,781-393-2228,781-395-8128,"06,07,08"
Medford: Milton Fuller Roberts,1760150,Public School,Principal,Kirk Johnson,35 Court Street,Medford,MA,2155,781-393-2155,781-393-2158,"PK,K,01,02,03,04,05"
Medway: Burke/Memorial Elementary School,1770015,Public School,Principal,Amanda Luizzi,16 Cassidy Lane,Medway,MA,2053,508-533-3266,508-533-3274,"02,03,04"
Medway: Medway Middle,1770305,Public School,Principal,Cari Perchase,45 Holliston Street,Medway,MA,2053,508-533-3230,508-533-3257,"05,06,07,08"
Melrose: Herbert Clark Hoover,1780017,Public School,Principal,Carol Weldin,37 Glendower Road,Melrose,MA,2176,781-979-2180,781-979-2183,"K,01,02,03,04,05"
Melrose: Horace Mann,1780025,Public School,Principal,Mary Cobbs,40 Damon Avenue,Melrose,MA,2176,781-979-2190,781-979-2194,"K,01,02,03,04,05"
Melrose: Lincoln,1780020,Public School,Principal,Jennifer Corduck,80 West Wyoming Avenue,Melrose,MA,2176,781-979-2250,781-979-2259,"K,01,02,03,04,05"
Melrose: Melrose Middle,1780305,Public School,Principal,Brent Conway,350 Lynn Fells Parkway,Melrose,MA,2176,781-979-2100,781-979-2104,"06,07,08"
Melrose: Roosevelt,1780035,Public School,Principal,Mary Beth Maranto,253 Vinton Street,Melrose,MA,2176,781-979-2270,781-979-2275,"K,01,02,03,04,05"
Melrose: Winthrop,1780050,Public School,Principal,John Maynard,162 First Street,Melrose,MA,2176,781-979-2280,781-979-2281,"K,01,02,03,04,05"
Mendon-Upton: Henry P Clough,7100179,Public School,Principal,Janice Gallagher,10 North Avenue,Mendon,MA,1756,508-634-1580,508-478-9111,"PK,K,01,02,03,04"
Mendon-Upton: Memorial School,7100001,Public School,Principal,Debra Swain,69 Main Street,Upton,MA,1568,508-529-1082,508-529-1909,"PK,K,01,02,03,04"
Mendon-Upton: Miscoe Hill School,7100015,Public School,Principal,Jennifer Mannion,148 North Avenue,Mendon,MA,1756,508-634-1590,508-634-1576,"05,06,07,08"
Methuen: Comprehensive Grammar School,1810050,Public School,Principal,Christopher Reeve,100 Howe Street,Methuen,MA,1844,978-722-9051,978-722-9053,"PK,K,01,02,03,04,05,06,07,08"
Methuen: Donald P Timony Grammar,1810060,Public School,Principal,Timothy Miller,45 Pleasant View Street,Methuen,MA,1844,978-722-9001,978-722-9003,"PK,K,01,02,03,04,05,06,07,08"
Methuen: Marsh Grammar School,1810030,Public School,Principal,Mary Jean Fawcett,309 Pelham Street,Methuen,MA,1844,978-722-9076,978-722-9078,"PK,K,01,02,03,04,05,06,07,08"
Methuen: Tenney Grammar School,1810055,Public School,Principal,Marybeth Donovan-grassi,75 Pleasant Street,Methuen,MA,1844,978-722-9026,978-722-9028,"PK,K,01,02,03,04,05,06,07,08"
Middleborough: Henry B. Burkland Elementary School,1820008,Public School,Principal,Derek Thompson,41 Mayflower Avenue,Middleborough,MA,2346,508-946-2040,508-946-2029,"01,02,03,04,05"
Middleborough: John T. Nichols Middle,1820305,Public School,Principal,Martin Geoghegan,112 Tiger Drive,Middleborough,MA,2346,508-946-2020,508-946-2019,"06,07,08"
Middleborough: Mary K. Goode Elementary School,1820010,Public School,Principal,Lisa Andrade,31 Mayflower Avenue,Middleborough,MA,2346,508-946-2045,508-946-8851,"01,02,03,04,05"
Middleton: Howe-Manning,1840005,Public School,Principal,James Sforza,26 Central Street,Middleton,MA,1949,978-739-2800,978-774-1411,"PK,03,04,05,06"
Milford: Stacy Middle,1850305,Public School,Principal,Nancy Angelini,66 School Street,Milford,MA,1757,508-478-1180,508-634-2370,"06,07,08"
Milford: Woodland,1850090,Public School,Principal,Timothy Kearnan,10 North Vine Street,Milford,MA,1757,508-478-1186,508-478-1695,"03,04,05"
Millbury: Elmwood Street,1860017,Public School,Principal,Andrew Hall,40 Elmwood Street,Millbury,MA,1527,508-865-5241,508-865-0888,"PK,K,01,02,03"
Millbury: Millbury Junior/Senior High,1860505,Public School,Principal,Tara Bennett,12 Martin Street,Millbury,MA,1527,508-865-5841,508-865-5845,"07,08,09,10,11,12"
Millbury: Raymond E. Shaw Elementary,1860025,Public School,Principal,Miriam Friedman,58 Elmwood Street,Millbury,MA,1527,508-865-3541,508-865-3430,"04,05,06"
Millis: Clyde F Brown,1870005,Public School,Principal,Jason Phelps,5 Park Rd,Millis,MA,2054,508-376-7003,508-376-7038,"PK,K,01,02,03,04"
Millis: Millis Middle,1870020,Public School,Principal,Maureen Knowlton,245 Plain Street,Millis,MA,2054,508-376-7014,508-376-7020,"05,06,07,08"
Milton: Charles S Pierce Middle,1890410,Public School,Principal,Karen Spaulding,451 Central Ave,Milton,MA,2186,617-696-4568,617-698-2238,"06,07,08"
Milton: Collicot,1890005,Public School,Principal,Holly Concannon,80 Edge Hill Rd,Milton,MA,2186,617-696-4282,617-698-3577,"PK,K,01,02,03,04,05"
Milton: Cunningham School,1890007,Public School,Principal,Jonathan Redden,44 Edge Hill Rd,Milton,MA,2186,617-696-4285,617-698-3473,"K,01,02,03,04,05"
Milton: Glover,1890010,Public School,Principal,Karen McDavitt,255 Canton Avenue,Milton,MA,2186,617-696-4288,617-698-2346,"K,01,02,03,04,05"
Milton: Tucker,1890020,Public School,Principal,Elaine Mcneil,187 Blue Hills Pkwy,Milton,MA,2186,617-696-4291,617-698-3374,"PK,K,01,02,03,04,05"
Mohawk Trail: Buckland-Shelburne Regional,7170005,Public School,Principal,Joanne Giguere,75 Mechanic Street,Shelburne Falls,MA,1370,413-625-2521,413-625-2034,"PK,K,01,02,03,04,05,06"
Mohawk Trail: Colrain Central,7170010,Public School,Principal,Amy Looman,22 Jacksonville Rd,Colrain,MA,1340,413-624-3451,413-624-3452,"PK,K,01,02,03,04,05,06"
Mohawk Trail: Mohawk Trail Regional High,7170505,Public School,Principal,Lynn Dole,26 Ashfield Road,Shelburne Falls,MA,1370,413-625-9811,413-625-6652,"07,08,09,10,11,12"
Mohawk Trail: Sanderson Academy,7170020,Public School,Principal,Emma Liebowitz,808 Cape Street,Ashfield,MA,1330,413-628-4404,413-628-4697,"PK,K,01,02,03,04,05,06"
Monomoy Regional School District: Chatham Elementary School,7120001,Public School,Principal,Robin Millen,147 Depot Road,Chatham,MA,2633,508-945-5135,508-945-5138,"PK,K,01,02,03,04"
Monomoy Regional School District: Harwich Elementary School,7120002,Public School,Principal,Samuel Hein,263 South Street,Harwich,MA,2645,508-430-7216,508-430-7232,"PK,K,01,02,03,04"
Monomoy Regional School District: Monomoy Regional High School,7120515,Public School,Principal,William Burkhead,75 Oak Street,Harwich,MA,2645,508-430-7200,508-430-7223,"08,09,10,11,12"
Monomoy Regional School District: Monomoy Regional Middle School,7120315,Public School,Principal,Mark Wilson,425 Crowell Road,Chatham,MA,2633,508-945-5140,508-945-5110,"05,06,07"
Monson: Granite Valley Middle,1910310,Public School,Principal,Mary Cieplik,21 Thompson Street,Monson,MA,1057,413-267-4155,413-267-4624,"05,06,07,08"
Monson: Quarry Hill Community School,1910025,Public School,Principal,Paige Bernat,43 Margaret Street,Monson,MA,1057,413-267-4160,413-267-4154,"PK,K,01,02,03,04"
Mount Greylock: Mt Greylock Regional High,7150505,Public School,Principal,Mary MacDonald,1781 Cold Spring Road,Williamstown,MA,1267,413-458-9582,413-458-9581,"07,08,09,10,11,12"
Mystic Valley Regional Charter (District): Mystic Valley Regional Charter School,4700105,Charter School,Principal,Martin Trice,770 Salem Street,Malden,MA,2148,781-388-0222,781-321-5688,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Nahant: Johnson,1960010,Public School,Principal,Kevin Andrews,290 Castle Road,Nahant,MA,1908,781-581-1600,781-581-0440,"PK,K,01,02,03,04,05,06"
Nantucket: Cyrus Peirce,1970010,Public School,Principal,Peter Cohen,10 Surfside Road,Nantucket,MA,2554,508-228-7283,508-325-7597,"06,07,08"
Nantucket: Nantucket Elementary,1970005,Public School,Principal,Kimberly Kubisch,30 Surfside Road,Nantucket,MA,2554,508-228-7290,508-325-5342,"PK,K,01,02"
Narragansett: Baldwinville Elementary,7200005,Public School,Principal,Nathaniel North,16 School Street,Baldwinville,MA,1436,978-939-5318,978-939-4438,"02,03,04"
Narragansett: Narragansett Middle,7200305,Public School,Principal,Peter Cushing,460 Baldwinville Rd,Baldwinville,MA,1436,978-939-5928,978-939-8422,"05,06,07,08"
Narragansett: Phillipston Memorial,7200003,Public School,Principal,Chante Jillson,20 The Common,Phillipston,MA,1331,978-249-4969,978-249-8639,"PK,K,01,02,03,04"
Nashoba: Center School,7250020,Public School,Principal,Ross Mulkerin,403 Great Rd,Stow,MA,1775,978-897-0290,978-897-5739,"PK,K,01,02,03,04,05"
Nashoba: Florence Sawyer School,7250025,Public School,Principal,Joel Bates,100 Mechanic Street,Bolton,MA,1740,978-779-2821,978-779-0121,"PK,K,01,02,03,04,05,06,07,08"
Nashoba: Hale,7250310,Public School,Principal,Kyle Grady,55 Hartley Road,Stow,MA,1775,978-897-4788,978-897-3631,"06,07,08"
Nashoba: Luther Burbank Middle School,7250305,Public School,Principal,Laura Jackson Friend,1 Hollywood Drive,Lancaster,MA,1523,978-365-4558,978-365-6882,"06,07,08"
Nashoba: Mary Rowlandson Elementary,7250010,Public School,Principal,Sean O'Shea,103 Hollywood Drive,Lancaster,MA,1523,978-368-8482,978-368-8730,"PK,K,01,02,03,04,05"
Natick: Bennett-Hemenway,1980005,Public School,Principal,Karen Ghilani,22 East Evergreen Rd,Natick,MA,1760,508-647-6580,508-652-9951,"K,01,02,03,04"
Natick: Brown,1980010,Public School,Principal,Kirk Downing,1 Jean Burke Drive,Natick,MA,1760,508-647-6660,508-647-6668,"K,01,02,03,04"
Natick: J F Kennedy Middle School,1980305,Public School,Principal,Andrew Zitoli,165 Mill Street,Natick,MA,1760,508-647-6650,508-647-6658,"05,06,07,08"
Natick: Johnson,1980031,Public School,Principal,Jordan Hoffman,99 South Main Street,Natick,MA,1760,508-647-6680,508-647-6688,"K,01,02,03,04"
Natick: Lilja Elementary,1980035,Public School,Principal,Anne Carothers,41 Bacon Street,Natick,MA,1760,508-647-6570,508-647-6572,"K,01,02,03,04"
Natick: Memorial,1980043,Public School,Principal,Susan Afonso,107 Eliot Street,Natick,MA,1760,508-647-6590,508-647-6598,"K,01,02,03,04"
Natick: Wilson Middle,1980310,Public School,Principal,Teresa Carney,22 Rutledge Rd,Natick,MA,1760,508-647-6670,508-647-6678,"05,06,07,08"
Nauset: Nauset Regional Middle,6600305,Public School,Principal,Maxine Minkoff,70 Route 28,Orleans,MA,2653,508-255-0016,508-240-1105,"06,07,08"
Needham: Broadmeadow,1990005,Public School,Principal,Emily Gaberman,120 Broadmeadow Rd,Needham,MA,2492,781-455-0448,781-455-0851,"K,01,02,03,04,05"
Needham: High Rock School,1990410,Public School,Principal,Jessica Downey,77 Ferndale Road,Needham,MA,2492,781-455-0400,--,6
Needham: Hillside Elementary,1990035,Public School,Principal,Michael Kascak,28 Glen Gary Rd,Needham,MA,2494,781-455-0461,781-455-0857,"K,01,02,03,04,05"
Needham: John Eliot,1990020,Public School,Principal,Karen Bourn,135 Wellesley Avenue,Needham,MA,2494,781-455-0452,781-455-0852,"K,01,02,03,04,05"
Needham: Newman Elementary,1990050,Public School,Principal,Jessica Peterson,1155 Central Avenue,Needham,MA,2492,781-455-0416,781-453-2523,"PK,K,01,02,03,04,05"
Needham: Pollard Middle,1990405,Public School,Principal,Tamatha Bibbo,200 Harris Avenue,Needham,MA,2492,781-455-0480,781-455-0413,"07,08"
Needham: William Mitchell,1990040,Public School,Principal,Gregory Bayse,187 Brookline Street,Needham,MA,2492,781-455-0466,781-455-0871,"K,01,02,03,04,05"
Neighborhood House Charter (District): Neighborhood House Charter School,4440205,Charter School,Principal,Kate Scott,21 Queen Street,Dorchester,MA,2122,617-825-0703,617-825-1829,"PK,K,01,02,03,04,05,06,07,08,09"
New Bedford: Abraham Lincoln,2010095,Public School,Principal,Lina DeJesus,445 Ashley Blvd,New Bedford,MA,2745,508-997-4511,508-995-7933,"K,01,02,03,04,05"
New Bedford: Alfred J Gomes,2010063,Public School,Principal,Ellyn Gallant,286 S Second Street,New Bedford,MA,2740,508-997-4511,508-990-1840,"PK,K,01,02,03,04,05"
New Bedford: Betsey B Winslow,2010140,Public School,Principal,Margaret Welch,561 Allen Street,New Bedford,MA,2740,508-997-4511,508-999-0489,"K,01,02,03,04,05"
New Bedford: Carlos Pacheco,2010105,Public School,Principal,Justine Medina,261 Mt Pleasant Stre,New Bedford,MA,2746,508-997-4511,508-994-7241,"K,01,02,03,04,05"
New Bedford: Casimir Pulaski,2010123,Public School,Principal,Melissa Rego,1097 Braley Rd,New Bedford,MA,2745,508-997-4511,--,"PK,K,01,02,03,04,05"
New Bedford: Charles S Ashley,2010010,Public School,Principal,Christine Pugliese,122 Rochambeau Street,New Bedford,MA,2745,508-997-4511,508-995-9707,"K,01,02,03,04,05"
New Bedford: Elizabeth Carter Brooks,2010015,Public School,Principal,Maria Reidy,212 Nemasket Street,New Bedford,MA,2740,508-997-4511,508-991-3659,"PK,K,01,02,03,04,05"
New Bedford: Ellen R Hathaway,2010075,Public School,Principal,Richard Leeman,256 Court Street,New Bedford,MA,2740,508-997-4511,--,"PK,K,01,02,03,04,05"
New Bedford: Elwyn G Campbell,2010020,Public School,Principal,Lisa Wheelden,145 Essex Street,New Bedford,MA,2745,508-997-4511,508-991-7483,"PK,K,01,02,03,04,05"
New Bedford: Hayden/McFadden,2010078,Public School,Principal,Tammy Morgan,361 Cedar Grove,New Bedford,MA,2746,508-997-4511,508-994-0163,"PK,K,01,02,03,04,05"
New Bedford: Irwin M. Jacobs Elementary School,2010070,Public School,Principal,Kerry Kennedy,47 Emery Street,New Bedford,MA,2744,508-997-4511,508-984-5660,"PK,K,01,02,03,04,05"
New Bedford: James B Congdon,2010040,Public School,Principal,Darcie Aungst,50 Hemlock Street,New Bedford,MA,2740,508-997-4511,508-999-3956,"K,01,02,03,04,05"
New Bedford: Jireh Swift,2010130,Public School,Principal,Tonya Vitorino,2203 Acushnet Avenue,New Bedford,MA,2745,508-997-4511,508-998-0887,"K,01,02,03,04,05"
New Bedford: John Avery Parker,2010115,Public School,Principal,Sandra Ford,705 County Street,New Bedford,MA,2740,508-997-4511,508-994-4063,"PK,K,01,02,03,04,05"
New Bedford: John B Devalles,2010050,Public School,Principal,Darcie Aungst,120 Katherine Street,New Bedford,MA,2744,508-997-4511,508-999-4034,"K,01,02,03,04,05"
New Bedford: Keith Middle School,2010405,Public School,Principal,Joshua Almeida,225 Hathaway Blvd,New Bedford,MA,2740,508-997-4511,508-996-2040,"06,07,08"
New Bedford: Normandin Middle School,2010410,Public School,Principal,Zachary Abrams,81 FELTON ST,New Bedford,MA,2745,508-985-4300,508-995-6975,"06,07,08"
New Bedford: Renaissance Community School for the Arts,2010124,Public School,Principal,Jennifer Mainelli,286 South Second Street,New Bedford,MA,2740,508-997-4511,--,"PK,K,01,02,03,04,05"
New Bedford: Roosevelt Middle School,2010415,Public School,Principal,Daniel Bossolt,119 Frederick Street,New Bedford,MA,2744,508-997-4511,508-997-1198,"06,07,08"
New Bedford: Sgt Wm H Carney Academy,2010045,Public School,Principal,Karen Treadup,247 Elm Street,New Bedford,MA,2740,508-997-4511,508-990-2879,"PK,K,01,02,03,04,05"
New Bedford: Thomas R Rodman,2010125,Public School,Principal,Kim Marshall,497 Mill Street,New Bedford,MA,2740,508-997-4511,508-997-1567,"K,01,02,03,04,05"
New Bedford: Trinity Day Academy,2010510,Public School,Principal,Matthew Kravitz,181 Hillman Street,New Bedford,MA,2740,508-997-4511,508-991-7483,"06,07,08,09,10,11,12"
New Bedford: Whaling City Junior/Senior High School,2010515,Public School,Principal,Jamal Safi,455 County Street,New Bedford,MA,2740,508-997-4511,508-991-7483,"06,07,08,09,10,11,12"
New Bedford: William H Taylor,2010135,Public School,Principal,Rafaela Spence,71 Portland Street,New Bedford,MA,2744,508-997-4511,508-991-7483,"PK,K,01,02,03,04,05"
New Heights Charter School of Brockton (District): New Heights Charter School of Brockton,35130305,Charter School,Principal,Janice Manning,1690 Main Street,Brockton,MA,2301,508-857-4633,508-857-5721,"06,07,08,09"
New Salem-Wendell: Swift River,7280015,Public School,Principal,Kelley Sullivan,201 Wendell Rd,New Salem,MA,1355,978-544-6926,978-544-2253,"PK,K,01,02,03,04,05,06"
Newburyport: Edward G. Molin Elementary School,2040030,Public School,Principal,Tara Rossi,70 Low Street,Newburyport,MA,1950,978-463-8212,978-463-3280,"04,05"
